method,train_domains,ood_domains,n_seeds,ID_mean,ID_std,OOD_mean,OOD_std,PD_mean,PD_std,H_mean,H_std
ACS-YOLO,CZ_A+CZ_B,CZ_C,1,0.156572,0.000000,0.102186,0.000000,34.735696,0.000000,0.123663,0.000000
ACS-YOLO,CZ_A+CZ_C,CZ_B,1,0.118693,0.000000,0.120156,0.000000,-1.233155,0.000000,0.119420,0.000000
ACS-YOLO,CZ_B+CZ_C,CZ_A,1,0.135671,0.000000,0.117611,0.000000,13.311924,0.000000,0.125997,0.000000
DG-Aug,CZ_A+CZ_B,CZ_C,1,0.146246,0.000000,0.096885,0.000000,33.752056,0.000000,0.116555,0.000000
DG-Aug,CZ_A+CZ_C,CZ_B,1,0.123044,0.000000,0.121293,0.000000,1.422719,0.000000,0.122162,0.000000
DG-Aug,CZ_B+CZ_C,CZ_A,1,0.135830,0.000000,0.124576,0.000000,8.285506,0.000000,0.129960,0.000000
Multi-source,CZ_A+CZ_B,CZ_C,1,0.162115,0.000000,0.101280,0.000000,37.525847,0.000000,0.124672,0.000000
Multi-source,CZ_A+CZ_C,CZ_B,1,0.119050,0.000000,0.118219,0.000000,0.698226,0.000000,0.118633,0.000000
Multi-source,CZ_B+CZ_C,CZ_A,1,0.136679,0.000000,0.106539,0.000000,22.051806,0.000000,0.119742,0.000000
Single-source,CZ_A,CZ_B+CZ_C,1,0.102462,0.000000,0.082469,0.000000,19.512646,0.000000,0.091385,0.000000
Single-source,CZ_B,CZ_A+CZ_C,1,0.159864,0.000000,0.091625,0.000000,42.685593,0.000000,0.116487,0.000000
Single-source,CZ_C,CZ_A+CZ_B,1,0.079240,0.000000,0.065585,0.000000,17.232480,0.000000,0.071769,0.000000
