run_name,id_zones,ood_zones,mAP50_ID,mAP50_OOD,mAP5095_ID,mAP5095_OOD,PD_50,PD_5095,H_50,H_5095,mAP50_CZ_A,mAP50_CZ_B,mAP50_CZ_C
exp1_baseline_CZA,CZ_A,CZ_B+CZ_C,0.461,0.2129,0.2405,0.0853,53.81,64.54,0.2913,0.1259,0.461,0.2366,0.1892
exp1_baseline_CZB,CZ_B,CZ_A+CZ_C,0.5383,0.2013,0.2811,0.0822,62.61,70.76,0.293,0.1272,0.235,0.5383,0.1676
exp1_baseline_CZC,CZ_C,CZ_A+CZ_B,0.4843,0.1743,0.2326,0.0684,64.0,70.58,0.2564,0.1057,0.1683,0.1804,0.4843
exp2_multisrc_test_CZC,CZ_A+CZ_B,CZ_C,0.5096,0.2159,0.2655,0.0868,57.63,67.3,0.3033,0.1309,0.4761,0.5432,0.2159
exp1_baseline_CZA,CZ_A,CZ_B+CZ_C,0.461,0.2129,0.2405,0.0853,53.81,64.54,0.2913,0.1259,0.461,0.2366,0.1892
exp1_baseline_CZB,CZ_B,CZ_A+CZ_C,0.5383,0.2013,0.2811,0.0822,62.61,70.76,0.293,0.1272,0.235,0.5383,0.1676
exp1_baseline_CZC,CZ_C,CZ_A+CZ_B,0.4843,0.1743,0.2326,0.0684,64.0,70.58,0.2564,0.1057,0.1683,0.1804,0.4843
exp2_multisrc_test_CZC,CZ_A+CZ_B,CZ_C,0.5096,0.2159,0.2655,0.0868,57.63,67.3,0.3033,0.1309,0.4761,0.5432,0.2159
exp2_multisrc_test_CZB,CZ_A+CZ_C,CZ_B,0.4518,0.263,0.2227,0.1122,41.78,49.62,0.3325,0.1492,0.453,0.263,0.4505
exp2_multisrc_test_CZA,CZ_B+CZ_C,CZ_A,0.4849,0.2626,0.2394,0.1129,45.84,52.83,0.3407,0.1534,0.2626,0.526,0.4437
exp1_baseline_CZA,CZ_A,CZ_B+CZ_C,0.461,0.2129,0.2405,0.0853,53.81,64.54,0.2913,0.1259,0.461,0.2366,0.1892
exp1_baseline_CZB,CZ_B,CZ_A+CZ_C,0.5383,0.2013,0.2811,0.0822,62.61,70.76,0.293,0.1272,0.235,0.5383,0.1676
exp1_baseline_CZC,CZ_C,CZ_A+CZ_B,0.4843,0.1743,0.2326,0.0684,64.0,70.58,0.2564,0.1057,0.1683,0.1804,0.4843
exp2_multisrc_test_CZC,CZ_A+CZ_B,CZ_C,0.5083,0.2159,0.2649,0.0868,57.52,67.22,0.3031,0.1308,0.4734,0.5432,0.2159
exp2_multisrc_test_CZB,CZ_A+CZ_C,CZ_B,0.4518,0.263,0.2227,0.1122,41.78,49.62,0.3325,0.1492,0.453,0.263,0.4505
exp2_multisrc_test_CZA,CZ_B+CZ_C,CZ_A,0.4849,0.2626,0.2394,0.1129,45.84,52.83,0.3407,0.1534,0.2626,0.526,0.4437
exp3_dgaug_test_CZC,CZ_A+CZ_B,CZ_C,0.4935,0.2201,0.2497,0.0878,55.4,64.85,0.3044,0.1299,0.4603,0.5266,0.2201
exp3_dgaug_test_CZB,CZ_A+CZ_C,CZ_B,0.4307,0.2703,0.2051,0.1159,37.24,43.48,0.3321,0.1481,0.433,0.2703,0.4285
exp3_dgaug_test_CZA,CZ_B+CZ_C,CZ_A,0.4675,0.2951,0.2265,0.131,36.87,42.16,0.3618,0.166,0.2951,0.508,0.4269
exp1_baseline_CZA,CZ_A,CZ_B+CZ_C,0.461,0.2129,0.2405,0.0853,53.81,64.54,0.2913,0.1259,0.461,0.2366,0.1892
exp1_baseline_CZB,CZ_B,CZ_A+CZ_C,0.5383,0.2013,0.2811,0.0822,62.61,70.76,0.293,0.1272,0.235,0.5383,0.1676
exp1_baseline_CZC,CZ_C,CZ_A+CZ_B,0.4843,0.1743,0.2326,0.0684,64.0,70.58,0.2564,0.1057,0.1683,0.1804,0.4843
exp2_multisrc_test_CZC,CZ_A+CZ_B,CZ_C,0.5096,0.2159,0.2655,0.0868,57.63,67.3,0.3033,0.1309,0.4761,0.5432,0.2159
exp2_multisrc_test_CZB,CZ_A+CZ_C,CZ_B,0.4518,0.263,0.2227,0.1122,41.78,49.62,0.3325,0.1492,0.453,0.263,0.4505
exp2_multisrc_test_CZA,CZ_B+CZ_C,CZ_A,0.4849,0.2626,0.2394,0.1129,45.84,52.83,0.3407,0.1534,0.2626,0.526,0.4437
exp3_dgaug_test_CZC,CZ_A+CZ_B,CZ_C,0.4935,0.2201,0.2497,0.0878,55.4,64.85,0.3044,0.1299,0.4603,0.5266,0.2201
exp3_dgaug_test_CZB,CZ_A+CZ_C,CZ_B,0.4299,0.2703,0.2047,0.1159,37.13,43.37,0.3319,0.148,0.4314,0.2703,0.4285
exp3_dgaug_test_CZA,CZ_B+CZ_C,CZ_A,0.4675,0.2951,0.2265,0.131,36.87,42.16,0.3618,0.166,0.2951,0.508,0.4269
