epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.3198,1.95816,1.97431,1.37827,0.36856,0.28337,0.17624,0.07647,1.73949,1.60521,1.27047,0.00027584,0.00027584,0.00027584
2,191.569,1.83487,1.43024,1.29724,0.48048,0.22359,0.1702,0.0729,1.71349,1.49102,1.26657,0.000548027,0.000548027,0.000548027
3,281.195,1.82594,1.39734,1.28311,0.20437,0.30829,0.18514,0.08194,1.68676,1.44355,1.25929,0.000814716,0.000814716,0.000814716
4,363.605,1.80814,1.34172,1.27848,0.33453,0.29854,0.22848,0.10401,1.67437,1.43149,1.24828,0.00080826,0.00080826,0.00080826
5,479.196,1.80809,1.32661,1.27464,0.40893,0.30419,0.22333,0.09994,1.68723,1.37414,1.24829,0.000800013,0.000800013,0.000800013
6,632.329,1.79354,1.30189,1.26887,0.29683,0.32581,0.24626,0.11313,1.68687,1.29783,1.24482,0.000791767,0.000791767,0.000791767
7,710.43,1.76333,1.25022,1.25662,0.36585,0.32767,0.25999,0.11586,1.67464,1.31849,1.23123,0.00078352,0.00078352,0.00078352
8,1026.44,1.7661,1.24479,1.25438,0.4683,0.34662,0.26597,0.12462,1.67509,1.29548,1.23049,0.000775273,0.000775273,0.000775273
9,1132.41,1.74738,1.22149,1.24969,0.31961,0.34896,0.27854,0.13131,1.63611,1.25393,1.21908,0.000767026,0.000767026,0.000767026
10,1236.55,1.73227,1.20104,1.24122,0.38434,0.36326,0.28358,0.13583,1.63445,1.25949,1.22036,0.00075878,0.00075878,0.00075878
11,1315.11,1.7213,1.19529,1.24122,0.34032,0.37279,0.29385,0.13862,1.60953,1.23574,1.21126,0.000750533,0.000750533,0.000750533
12,1416.33,1.7221,1.1937,1.23717,0.38664,0.37515,0.31429,0.15124,1.60737,1.20514,1.20236,0.000742286,0.000742286,0.000742286
