epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.166,1.99263,1.83661,1.32554,0.23795,0.27192,0.18291,0.07872,1.83319,1.49298,1.29233,0.000276599,0.000276599,0.000276599
2,213.211,1.87577,1.3873,1.25476,0.38807,0.29348,0.19892,0.08732,1.8488,1.45909,1.26399,0.000548778,0.000548778,0.000548778
3,309.425,1.8749,1.34387,1.25797,0.45443,0.28355,0.23682,0.1032,1.789,1.40721,1.26554,0.00081546,0.00081546,0.00081546
4,410.243,1.84917,1.30813,1.24287,0.35635,0.32333,0.26688,0.12212,1.77585,1.35976,1.25259,0.00080826,0.00080826,0.00080826
5,514.176,1.82346,1.27129,1.23443,0.37768,0.36903,0.28204,0.12891,1.76018,1.31682,1.24385,0.000800013,0.000800013,0.000800013
6,612.132,1.82276,1.25777,1.22876,0.36719,0.35678,0.29137,0.13433,1.73239,1.28655,1.23041,0.000791767,0.000791767,0.000791767
7,715.955,1.80695,1.23268,1.21737,0.41156,0.35353,0.30472,0.14307,1.735,1.25895,1.21573,0.00078352,0.00078352,0.00078352
8,812.434,1.79804,1.22365,1.21816,0.38754,0.36573,0.31371,0.14625,1.72805,1.24107,1.22613,0.000775273,0.000775273,0.000775273
9,910.62,1.77451,1.17931,1.20129,0.44074,0.35531,0.31732,0.14603,1.72154,1.25873,1.20733,0.000767026,0.000767026,0.000767026
10,1000.79,1.76938,1.18089,1.20144,0.41002,0.37921,0.34247,0.1629,1.70892,1.21037,1.21157,0.00075878,0.00075878,0.00075878
11,1099.53,1.76849,1.17346,1.20671,0.37174,0.38372,0.33016,0.15469,1.71993,1.24399,1.20906,0.000750533,0.000750533,0.000750533
12,1195.11,1.74306,1.15399,1.19076,0.38922,0.39579,0.34067,0.16378,1.71273,1.22827,1.21418,0.000742286,0.000742286,0.000742286
13,1293.95,1.75021,1.15199,1.19746,0.42366,0.40993,0.35708,0.17174,1.70475,1.19957,1.21455,0.00073404,0.00073404,0.00073404
14,1384.49,1.74846,1.14409,1.19493,0.42363,0.41396,0.35879,0.17394,1.70349,1.19315,1.20703,0.000725793,0.000725793,0.000725793
15,1485.07,1.73644,1.1388,1.19274,0.43083,0.3983,0.36288,0.17346,1.69801,1.19599,1.19641,0.000717546,0.000717546,0.000717546
