epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.6725,2.09022,2.56562,1.52116,0.48673,0.13102,0.08023,0.03418,1.78912,2.45491,1.40437,0.000270547,0.000270547,0.000270547
2,26.6667,1.84669,1.48855,1.35876,0.37077,0.2104,0.12468,0.0541,1.81647,1.68697,1.39707,0.000542786,0.000542786,0.000542786
3,38.5137,1.83537,1.37687,1.34432,0.43049,0.23428,0.16001,0.06572,1.81005,1.54719,1.4017,0.000809528,0.000809528,0.000809528
4,50.537,1.81102,1.37853,1.32773,0.59308,0.21398,0.20265,0.08693,1.79547,1.45513,1.34673,0.00080826,0.00080826,0.00080826
5,62.475,1.78198,1.30577,1.32876,0.37482,0.21023,0.21058,0.09406,1.77855,1.443,1.3619,0.000800013,0.000800013,0.000800013
6,74.4648,1.77919,1.27287,1.31203,0.48006,0.30776,0.22597,0.09607,1.7495,1.32065,1.34975,0.000791767,0.000791767,0.000791767
7,86.3394,1.77828,1.27176,1.30876,0.48606,0.25634,0.2135,0.09447,1.75693,1.35372,1.34429,0.00078352,0.00078352,0.00078352
8,97.9531,1.76791,1.26894,1.31308,0.46443,0.23542,0.21887,0.09891,1.7586,1.34827,1.34877,0.000775273,0.000775273,0.000775273
9,110,1.74013,1.21535,1.28609,0.51192,0.25439,0.23804,0.10587,1.73078,1.26572,1.32813,0.000767026,0.000767026,0.000767026
10,121.882,1.74363,1.19837,1.29416,0.30984,0.35713,0.25052,0.10922,1.71332,1.21187,1.31457,0.00075878,0.00075878,0.00075878
11,133.792,1.73753,1.20446,1.27868,0.33179,0.35041,0.26967,0.12415,1.71669,1.21222,1.31804,0.000750533,0.000750533,0.000750533
12,145.735,1.7293,1.17762,1.26767,0.38155,0.32919,0.27355,0.12437,1.73627,1.22569,1.33631,0.000742286,0.000742286,0.000742286
13,157.716,1.71808,1.17946,1.27106,0.60112,0.30341,0.30044,0.14247,1.69147,1.32638,1.30565,0.00073404,0.00073404,0.00073404
14,170.063,1.68635,1.14157,1.251,0.51557,0.29156,0.30319,0.14203,1.70736,1.19717,1.30084,0.000725793,0.000725793,0.000725793
15,182.762,1.69247,1.15114,1.2685,0.43231,0.30862,0.29901,0.13596,1.69625,1.2193,1.31851,0.000717546,0.000717546,0.000717546
16,195.587,1.67478,1.15482,1.27541,0.41536,0.35961,0.28495,0.12615,1.7005,1.22295,1.31679,0.000709299,0.000709299,0.000709299
17,211.761,1.68371,1.13285,1.26069,0.42514,0.35573,0.35111,0.15361,1.68148,1.16344,1.30032,0.000701053,0.000701053,0.000701053
18,229.301,1.62583,1.09172,1.23663,0.47481,0.33075,0.3175,0.14564,1.69264,1.20393,1.30015,0.000692806,0.000692806,0.000692806
19,241.468,1.6911,1.12513,1.26026,0.34254,0.39909,0.32044,0.14895,1.70317,1.15137,1.30245,0.000684559,0.000684559,0.000684559
20,253.374,1.65164,1.07315,1.24975,0.29162,0.36409,0.29782,0.13752,1.68901,1.17223,1.29935,0.000676313,0.000676313,0.000676313
21,265.12,1.65841,1.1021,1.26129,0.41534,0.40258,0.3428,0.15777,1.67205,1.19568,1.29467,0.000668066,0.000668066,0.000668066
22,277.19,1.6188,1.04764,1.24019,0.46221,0.42788,0.36791,0.17229,1.6621,1.1406,1.29758,0.000659819,0.000659819,0.000659819
23,289.18,1.63648,1.03582,1.22899,0.37096,0.3721,0.34751,0.15971,1.69686,1.13941,1.29821,0.000651573,0.000651573,0.000651573
